source,state,item_code,map_value,map_type,map_source,display_name,kvi_tag,mrp,current_sp
FMCGF,Jharkhand,71882,214.494,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,11171,213.9375,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,102560,213.8933125,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,97075,213.2802,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,97075,213.2802,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,97075,213.276,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2619,212.9680879,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,5026,212.96205,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,13633,212.88616,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,10711,212.82765,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,12917,212.57464,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,3082,212.32155,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,5026,212.10315,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,104809,212.0814,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,14684,211.9992,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2501,211.9026,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2841,211.8711,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,104521,211.75875,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,18143,211.5225,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,2620,211.2495,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,10711,210.55545,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,10625,210.2289,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,43110,210.0046,map_including_gst,MAP_DIRECT,,,,
FMCGF,Chhattisgarh,86496,210.0046,map_including_gst,MAP_BACKFILL,,,,
FMCGF,West Bengal,2469,209.8908,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,102390,209.091,map_including_gst,MAP_DIRECT,,,,
FMCGF,Jharkhand,2610,208.8555,map_including_gst,MAP_DIRECT,,,,
FMCGF,West Bengal,2599,207.9525,map_including_gst,MAP_BACKFILL,,,,
FMCGF,Jharkhand,2600,207.88215,map_including_gst,MAP_DIRECT,,,,
